season,team,conference,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_success_rate,off_explosiveness,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_success_rate,def_explosiveness
2019,Arizona,Pac-12,0.22,0.24,0.2,,,0.24,0.35,0.18,,
2019,Arizona State,Pac-12,0.13,0.29,-0.01,,,0.15,0.28,0.02,,
2019,Arkansas,SEC,0.05,0.02,0.08,,,0.29,0.43,0.19,,
2019,Arkansas State,Sun Belt,0.21,0.34,0.07,,,0.18,0.21,0.18,,
2019,Army,FBS Independents,0.24,0.04,0.28,,,0.18,0.28,0.12,,
2019,Auburn,SEC,0.19,0.29,0.13,,,0.04,0.12,-0.04,,
2019,Ball State,Mid-American,0.23,0.31,0.18,,,0.21,0.28,0.17,,
2019,Baylor,Big 12,0.22,0.29,0.16,,,0.07,0.14,0.02,,
2019,Boise State,Mountain West,0.22,0.33,0.12,,,0.12,0.19,0.04,,
2019,Boston College,ACC,0.22,0.4,0.14,,,0.22,0.42,0.07,,
2019,Bowling Green,Mid-American,0.0,-0.03,0.03,,,0.31,0.44,0.24,,
2019,Buffalo,Mid-American,0.19,0.16,0.21,,,0.05,0.11,0.0,,
2019,BYU,FBS Independents,0.18,0.25,0.1,,,0.14,0.29,0.02,,
2019,California,Pac-12,0.13,0.17,0.09,,,0.11,0.16,0.07,,
2019,Central Michigan,Mid-American,0.19,0.24,0.15,,,0.12,0.27,-0.03,,
2019,Charlotte,Conference USA,0.23,0.32,0.18,,,0.24,0.24,0.24,,
2019,Cincinnati,American Athletic,0.17,0.2,0.16,,,0.08,0.13,0.06,,
2019,Clemson,ACC,0.37,0.37,0.37,,,0.0,0.04,-0.03,,
2019,Coastal Carolina,Sun Belt,0.21,0.27,0.16,,,0.23,0.36,0.14,,
2019,Colorado,Pac-12,0.17,0.24,0.14,,,0.26,0.39,0.13,,
2019,Colorado State,Mountain West,0.2,0.36,0.01,,,0.16,0.16,0.16,,
2019,Duke,ACC,0.03,0.04,0.03,,,0.13,0.14,0.14,,
2019,East Carolina,American Athletic,0.14,0.33,-0.05,,,0.27,0.4,0.18,,
2019,Eastern Michigan,Mid-American,0.22,0.37,0.06,,,0.25,0.33,0.18,,
2019,Florida,SEC,0.26,0.41,0.07,,,0.05,0.12,-0.02,,
2019,Florida Atlantic,Conference USA,0.21,0.33,0.11,,,0.09,0.17,0.02,,
2019,Florida International,Conference USA,0.17,0.25,0.12,,,0.15,0.11,0.23,,
2019,Florida State,ACC,0.18,0.24,0.1,,,0.12,0.22,0.03,,
2019,Fresno State,Mountain West,0.21,0.26,0.17,,,0.17,0.23,0.12,,
2019,Georgia,SEC,0.19,0.31,0.09,,,0.03,0.09,-0.06,,
2019,Georgia Southern,Sun Belt,0.12,0.06,0.15,,,0.18,0.34,0.04,,
2019,Georgia State,Sun Belt,0.22,0.24,0.2,,,0.3,0.41,0.23,,
2019,Georgia Tech,ACC,0.05,0.04,0.05,,,0.2,0.28,0.16,,
2019,Hawai'i,Mountain West,0.27,0.31,0.21,,,0.21,0.16,0.27,,
2019,Houston,American Athletic,0.16,0.15,0.17,,,0.27,0.38,0.16,,
2019,Illinois,Big Ten,0.1,0.15,0.05,,,0.1,0.22,0.03,,
2019,Indiana,Big Ten,0.19,0.27,0.11,,,0.12,0.15,0.1,,
2019,Iowa,Big Ten,0.14,0.23,0.09,,,0.05,0.13,-0.02,,
2019,Iowa State,Big 12,0.23,0.37,0.06,,,0.15,0.23,0.08,,
2019,Kansas,Big 12,0.17,0.29,0.06,,,0.27,0.38,0.21,,
2019,Kansas State,Big 12,0.18,0.37,0.08,,,0.19,0.18,0.21,,
2019,Kent State,Mid-American,0.19,0.3,0.14,,,0.25,0.37,0.2,,
2019,Kentucky,SEC,0.18,0.01,0.26,,,0.11,0.1,0.14,,
2019,Liberty,FBS Independents,0.24,0.36,0.12,,,0.16,0.24,0.1,,
2019,Louisiana,Sun Belt,0.32,0.39,0.28,,,0.12,0.02,0.21,,
2019,Louisiana Tech,Conference USA,0.2,0.29,0.12,,,0.04,0.08,0.01,,
2019,Louisville,ACC,0.28,0.46,0.16,,,0.23,0.24,0.22,,
2019,LSU,SEC,0.41,0.61,0.2,,,0.09,0.15,0.03,,
2019,Marshall,Conference USA,0.14,0.16,0.14,,,0.14,0.16,0.14,,
2019,Maryland,Big Ten,0.07,-0.04,0.17,,,0.19,0.29,0.14,,
2019,Massachusetts,FBS Independents,0.0,-0.02,0.02,,,0.4,0.52,0.35,,
2019,Memphis,American Athletic,0.31,0.5,0.13,,,0.14,0.17,0.13,,
2019,Miami,ACC,0.13,0.19,0.07,,,0.07,0.15,-0.02,,
2019,Miami (OH),Mid-American,0.05,0.11,0.01,,,0.13,0.15,0.13,,
2019,Michigan,Big Ten,0.18,0.28,0.1,,,0.07,0.12,0.03,,
2019,Michigan State,Big Ten,0.06,0.18,-0.04,,,0.08,0.14,0.01,,
2019,Middle Tennessee,Conference USA,0.22,0.31,0.15,,,0.19,0.29,0.13,,
2019,Minnesota,Big Ten,0.29,0.6,0.11,,,0.08,0.09,0.09,,
2019,Mississippi State,SEC,0.25,0.22,0.27,,,0.17,0.34,0.05,,
2019,Missouri,SEC,0.11,0.19,0.05,,,0.03,0.05,0.0,,
2019,Navy,American Athletic,0.35,0.42,0.35,,,0.09,0.23,-0.03,,
2019,NC State,ACC,0.09,0.1,0.11,,,0.19,0.24,0.15,,
2019,Nebraska,Big Ten,0.13,0.16,0.13,,,0.13,0.15,0.14,,
2019,Nevada,Mountain West,0.09,0.14,0.05,,,0.21,0.33,0.1,,
2019,New Mexico,Mountain West,0.1,0.05,0.12,,,0.28,0.41,0.16,,
2019,New Mexico State,FBS Independents,0.08,0.08,0.1,,,0.26,0.28,0.27,,
2019,North Carolina,ACC,0.26,0.4,0.14,,,0.11,0.18,0.04,,
2019,Northern Illinois,Mid-American,0.11,0.23,0.02,,,0.16,0.26,0.09,,
2019,North Texas,Conference USA,0.14,0.29,-0.02,,,0.2,0.26,0.17,,
2019,Northwestern,Big Ten,0.02,-0.02,0.04,,,0.08,0.19,0.0,,
2019,Notre Dame,FBS Independents,0.24,0.38,0.12,,,0.05,0.06,0.05,,
2019,Ohio,Mid-American,0.28,0.31,0.26,,,0.21,0.25,0.2,,
2019,Ohio State,Big Ten,0.37,0.52,0.27,,,-0.01,-0.04,0.02,,
2019,Oklahoma,Big 12,0.4,0.62,0.27,,,0.15,0.24,0.08,,
2019,Oklahoma State,Big 12,0.22,0.29,0.18,,,0.13,0.2,0.07,,
2019,Old Dominion,Conference USA,-0.02,-0.06,0.04,,,0.17,0.41,0.0,,
2019,Ole Miss,SEC,0.16,0.29,0.11,,,0.19,0.27,0.11,,
2019,Oregon,Pac-12,0.27,0.39,0.16,,,0.03,0.06,0.02,,
2019,Oregon State,Pac-12,0.24,0.31,0.17,,,0.23,0.29,0.17,,
2019,Penn State,Big Ten,0.24,0.29,0.2,,,0.07,0.17,-0.04,,
2019,Pittsburgh,ACC,0.09,0.18,-0.02,,,0.04,0.07,0.01,,
2019,Purdue,Big Ten,0.12,0.26,-0.09,,,0.18,0.25,0.14,,
2019,Rice,Conference USA,0.03,0.1,-0.01,,,0.21,0.41,0.04,,
2019,Rutgers,Big Ten,-0.02,-0.03,0.0,,,0.26,0.35,0.2,,
2019,San Diego State,Mountain West,0.06,0.25,-0.07,,,0.03,0.12,-0.09,,
2019,San José State,Mountain West,0.2,0.36,-0.02,,,0.21,0.24,0.2,,
2019,SMU,American Athletic,0.22,0.38,0.09,,,0.16,0.23,0.1,,
2019,South Alabama,Sun Belt,0.03,0.02,0.05,,,0.17,0.34,0.08,,
2019,South Carolina,SEC,0.07,0.06,0.09,,,0.14,0.24,0.04,,
2019,Southern Miss,Conference USA,0.14,0.35,-0.06,,,0.15,0.27,0.02,,
2019,South Florida,American Athletic,0.11,0.07,0.16,,,0.15,0.21,0.12,,
2019,Stanford,Pac-12,0.16,0.22,0.09,,,0.22,0.35,0.1,,
