Weight.x,Converted_Arm,Converted_Hand,Height,Weight.y,Dash40,Shuttle20,Vertical,Position_Group
197,32.25,8.75,72,179,4.48,4.27,32,DB
214,32.75,9.625,73,190,4.57,4.18,33.7,DB
200,32,9.5,74,172,4.67,3.93,38.6,DB
201,32.375,9.5,71,175,4.83,5.06,28.8,DB
189,31,9.375,73,181,4.61,4.14,36.3,DB
188,31.625,9.25,70,159,4.68,4.34,32,DB
212,32.5,9.125,72,195,4.64,4.23,31.9,DB
212,33.375,9.5,74,210,4.6,4.28,34.3,DB
177,31,8.375,70,152,4.68,4.19,34.4,DB
192,32.125,9.125,71,170,4.74,4.46,30,DB
211,32.25,9.625,73,197,4.6,4.16,32.4,DB
224,32,9.875,73,205,4.79,4.34,26,QB
221,31,9.375,76,209,4.95,4.47,26.8,QB
210,30.875,9.75,72,203,4.72,4.53,31.2,QB
216,33.125,9.5,75,209,NA,NA,36.2,QB
216,33.125,9.5,75,202,4.77,4.44,31.6,QB
218,32.5,10,75,191,5.19,4.63,27,QB
232,32.25,9.375,77,191,4.83,4.31,29.6,QB
232,32.25,9.375,77,191,4.83,4.31,29.6,QB
226,31.75,9.875,76,206,5.03,4.31,31,QB
233,31.375,9.5,72,208,4.66,4.5,36.2,RB
245,30.5,9.25,74,231,4.92,4.53,26.5,RB
245,30.5,9.25,74,231,4.92,4.53,26.5,RB
227,32,9.625,71,217,4.47,4.1,40.8,RB
223,30.5,9.25,70,205,4.85,4.41,28.7,RB
229,32,9.5,72,227,4.58,4.07,33.6,RB
224,30.75,9,71,215,4.61,4.66,30.4,RB
214,31.25,9.125,71,194,4.46,4.22,30.5,RB
218,28.75,9.25,69,197,4.65,4.28,31.6,RB
228,33.5,10,74,215,4.59,4.09,31,RB
202,30,9.25,70,185,4.68,4.38,33,RB
229,31,9.375,71,203,NA,4.18,28.4,RB
216,32.875,9,77,200,4.83,4.34,29.8,WR
202,33,8.75,74,190,4.58,4.43,30.6,WR
200,31.5,9.5,71,179,4.64,4.56,33,WR
