,Name,Positions,Position_Group,HT_in,College_Weight,Hand_Size,Arm_Length,Wing_Length,Height,HS_Weight,is_outlier
289,Ronnie Harrison,DB,SKILLS,74.0,207.0,9.5,33.375,80.375,74,192,False
290,Jaylon Smith,LB,MIDS,74.0,223.0,9.5,33.0,78.25,75,212,False
291,Chris Brown,DB,SKILLS,74.0,194.0,9.0,32.25,77.0,71,183,False
292,Chris Brown,WR,SKILLS,74.0,194.0,9.0,32.25,77.0,74,170,False
293,Chris Conley,WR,SKILLS,73.875,213.0,9.875,33.75,81.0,75,191,False
294,Deon Cain,WR,SKILLS,73.875,202.0,8.75,33.0,79.625,74,190,False
295,DaMarkus Lodge,WR,SKILLS,73.875,202.0,9.5,33.125,77.0,74,185,False
297,Raekwon McMillan,LB,MIDS,73.875,240.0,9.75,33.0,76.13,74,249,False
298,Jordan Fuller,ATH,SKILLS,73.875,203.0,9.0,31.0,76.125,74,205,False
299,Jose Ramirez,LB,MIDS,73.875,242.0,8.75,32.75,78.625,74,189,False
300,Skylar Thompson,QB,MIDS,73.875,217.0,8.625,31.0,74.625,74,195,False
301,Kevin Davis,LB,MIDS,73.875,235.0,10.25,32.38,76.25,74,220,False
302,Jake Fromm,QB,MIDS,73.875,219.0,8.875,31.125,75.0,75,224,False
303,Tremayne Anchrum,OL,BIGS,73.875,314.0,9.625,33.625,80.5,75,257,False
304,Ed Oliver,DL,BIGS,73.875,287.0,9.25,31.75,77.375,74,289,False
305,Rashaan Evans,LB,MIDS,73.875,232.0,10.0,32.25,77.25,75,217,False
306,Nick Bawden,QB,MIDS,73.875,245.0,9.25,30.5,72.875,74,231,False
307,Nick Bawden,WR,SKILLS,73.875,245.0,9.25,30.5,72.875,74,231,False
308,Ricardo Louis,ATH,SKILLS,73.75,215.0,9.5,32.375,77.5,74,200,False
309,Derwin James,DB,SKILLS,73.75,215.0,9.5,33.0,78.625,74,202,False
310,Justin Layne,WR,SKILLS,73.75,192.0,9.25,33.0,80.125,75,180,False
311,Tyreque Jones,DB,SKILLS,73.75,195.0,9.625,33.75,80.375,73,180,False
312,Jordan Jones,WR,SKILLS,73.75,234.0,9.0,31.75,76.125,73,175,False
313,Carl Lawson,DL,BIGS,73.75,261.0,10.38,31.5,76.88,75,251,False
314,Gerald Willis III,DL,BIGS,73.75,302.0,8.5,33.0,76.5,75,275,True
315,Noah Brown,ATH,SKILLS,73.75,222.0,9.13,31.75,76.63,74,215,False
316,Robert Foster,WR,SKILLS,73.625,196.0,9.25,32.125,77.25,75,190,False
317,Donovan Peoples-Jones,WR,SKILLS,73.625,212.0,10.125,33.5,79.25,74,200,False
318,Holton Hill,DB,SKILLS,73.625,196.0,9.625,32.0,77.25,74,184,False
319,Jakobi Meyers,QB,MIDS,73.625,203.0,9.5,32.0,76.5,74,172,False
320,Blake Martinez,LB,MIDS,73.625,237.0,10.0,31.625,76.875,73,242,False
321,Lowell Lotulelei,DL,BIGS,73.625,315.0,9.625,33.0,77.5,74,293,False
322,Rashard Robinson,ATH,SKILLS,73.5,171.0,9.0,32.25,76.875,74,161,False
323,Quincy Wilson,DB,SKILLS,73.5,211.0,9.63,32.25,75.63,73,197,False
324,DaVaris Daniels,WR,SKILLS,73.5,201.0,9.0,31.25,76.0,74,164,False
325,Jeremiah Hall,TE,MIDS,73.5,239.0,10.5,31.625,76.625,76,224,False
326,Van Jefferson,WR,SKILLS,73.5,200.0,9.125,32.75,77.125,74,175,False
327,Vosean Joseph,LB,MIDS,73.5,230.0,9.625,31.375,75.375,74,207,False
328,Bo Scarbrough,ATH,SKILLS,73.375,228.0,10.0,33.5,80.375,74,215,False
329,Bobby Okereke,ATH,SKILLS,73.375,239.0,10.125,34.5,82.625,73,213,False
330,Quentin Lake,DB,SKILLS,73.375,201.0,9.125,31.25,76.25,73,176,False
331,Kamren Curl,ATH,SKILLS,73.375,206.0,8.5,32.625,75.75,74,176,False
332,Darius Philon,DL,BIGS,73.375,298.0,9.5,32.375,79.25,73,263,False
333,Jalen Ramsey,DB,SKILLS,73.25,209.0,9.5,33.375,79.625,72,190,False
