Source_File,Name,Link,Height,Weight,Dash40,Shuttle20,Vertical,Position,SPARQ,Power_Throw
3,Dontre Wilson,https://www.espn.com/college-sports/football/recruiting/player/_/id/135018/dontre-wilson,70,174,4.51,4.31,33.2,at,101.28,NA
3,Levonte Whitfield,https://www.espn.com/college-sports/football/recruiting/player/_/id/140540/levonte-whitfield,69,176,4.37,4.15,34.3,at,108.24,NA
3,Alvin Bailey,https://www.espn.com/college-sports/football/recruiting/player/_/id/145841/alvin-bailey,71,175,NA,4.21,29,at,NA,NA
3,Dymonte Thomas,https://www.espn.com/college-sports/football/recruiting/player/_/id/123156/dymonte-thomas,72,180,4.57,4.47,29.5,at,NA,NA
3,Alex Anzalone,https://www.espn.com/college-sports/football/recruiting/player/_/id/139334/alex-anzalone,75,231,4.73,4.34,29.3,at,108.09,NA
3,LaQuvionte Gonzalez,https://www.espn.com/college-sports/football/recruiting/player/_/id/143680/laquvionte-gonzalez,70,160,4.56,4.5,36.2,at,85.26,NA
3,Reggie Wilkerson,https://www.espn.com/college-sports/football/recruiting/player/_/id/132121/reggie-wilkerson,71,162,4.82,4.4,27.5,at,65.37,NA
3,Nadir Barnwell,https://www.espn.com/college-sports/football/recruiting/player/_/id/128285/nadir-barnwell,70,185,4.64,4.47,29.3,at,NA,NA
3,Anthony Averett,https://www.espn.com/college-sports/football/recruiting/player/_/id/123710/anthony-averett,72,170,4.67,4.62,30.4,at,NA,NA
3,John Diarse,https://www.espn.com/college-sports/football/recruiting/player/_/id/140598/john-diarse,72,210,4.81,NA,25.5,at,NA,NA
3,Brendan Langley,https://www.espn.com/college-sports/football/recruiting/player/_/id/144482/brendan-langley,73,181,4.61,4.14,36.3,at,108.33,NA
3,Cequan Jefferson,https://www.espn.com/college-sports/football/recruiting/player/_/id/150647/cequan-jefferson,70,163,4.67,4.53,36.4,at,83.34,NA
3,Michael Parker,https://www.espn.com/college-sports/football/recruiting/player/_/id/134140/michael-parker,75,196,4.78,NA,29.9,at,NA,NA
3,Chevoski Collins,https://www.espn.com/college-sports/football/recruiting/player/_/id/136608/chevoski-collins,72,190,4.83,4.27,28.5,at,NA,NA
3,Tyrone Swoopes,https://www.espn.com/college-sports/football/recruiting/player/_/id/140420/tyrone-swoopes,77,229,4.77,4.32,29.3,at,105.81,NA
3,Leroy Clark,https://www.espn.com/college-sports/football/recruiting/player/_/id/150771/leroy-clark,70,170,4.85,NA,31.2,at,NA,NA
3,James Onwualu,https://www.espn.com/college-sports/football/recruiting/player/_/id/143472/james-onwualu,73,203,4.53,4.39,34,at,NA,NA
3,Carlis Parker,https://www.espn.com/college-sports/football/recruiting/player/_/id/124395/carlis-parker,75,177,4.69,4.37,30.6,at,NA,NA
3,Charles Williams,https://www.espn.com/college-sports/football/recruiting/player/_/id/135180/charles-williams,74,176,4.71,4.6,33,at,77.76,NA
3,Wayne Gallman,https://www.espn.com/college-sports/football/recruiting/player/_/id/134664/wayne-gallman,73,200,4.85,4.57,30.1,at,NA,NA
3,Johnny Ragin III,https://www.espn.com/college-sports/football/recruiting/player/_/id/167589/johnny-ragin-iii,74,208,4.71,4.16,34.2,at,112.29,NA
3,Khalid Thomas,https://www.espn.com/college-sports/football/recruiting/player/_/id/132161/khalid-thomas,68,180,4.98,4.28,25.7,at,NA,NA
3,Rashard Robinson,https://www.espn.com/college-sports/football/recruiting/player/_/id/152286/rashard-robinson,74,161,4.59,4.43,33.5,at,80.19,NA
3,Kamari Cotton-Moya,https://www.espn.com/college-sports/football/recruiting/player/_/id/136917/kamari-cotton-moya,73,180,4.68,4.44,30.9,at,NA,NA
3,Andre Harris,https://www.espn.com/college-sports/football/recruiting/player/_/id/168055/andre-harris,73,170,4.44,NA,NA,at,NA,NA
3,Darius Allensworth,https://www.espn.com/college-sports/football/recruiting/player/_/id/136942/darius-allensworth,71,174,4.82,4.39,36.9,at,87.12,NA
3,Dila Rosemond,https://www.espn.com/college-sports/football/recruiting/player/_/id/154195/dila-rosemond,70,166,4.93,4.72,34.1,at,63.3,NA
3,Donovahn Jones,https://www.espn.com/college-sports/football/recruiting/player/_/id/125059/donovahn-jones,74,189,4.69,4.12,35.3,at,95.25,NA
3,Connor O'Brien,https://www.espn.com/college-sports/football/recruiting/player/_/id/152000/connor-obrien,75,205,4.65,NA,NA,at,NA,NA
3,Pharoh Cooper,https://www.espn.com/college-sports/football/recruiting/player/_/id/150650/pharoh-cooper,71,181,4.75,4.35,30.2,at,76.23,NA
3,E.J. Speed,https://www.espn.com/college-sports/football/recruiting/player/_/id/93796/ej-speed,75,195,5.29,5.19,27.5,at,NA,NA
4,Speedy Noil,https://www.espn.com/college-sports/football/recruiting/player/_/id/167452/speedy-noil,72,176,4.45,3.87,44.1,at,153.9,41
4,Bo Scarbrough,https://www.espn.com/college-sports/football/recruiting/player/_/id/153062/bo-scarbrough,74,215,4.59,4.09,31,at,NA,NA
4,Juju Smith,https://www.espn.com/college-sports/football/recruiting/player/_/id/130306/juju-smith,73,206,4.71,4.27,32.7,at,94.35,34.5
4,Nick Harvey,https://www.espn.com/college-sports/football/recruiting/player/_/id/161747/nick-harvey,71,180,4.4,NA,NA,at,NA,NA
4,De'Andre Thompkins,https://www.espn.com/college-sports/football/recruiting/player/_/id/171387/deandre-thompkins,71,176,4.46,4.18,35,at,97.86,30
4,Michiah Quick,https://www.espn.com/college-sports/football/recruiting/player/_/id/168201/michiah-quick,72,170,4.5,4.07,33.3,at,102.63,33
4,Chris Lammons,https://www.espn.com/college-sports/football/recruiting/player/_/id/152334/chris-lammons,70,171,4.62,4.23,34.8,at,83.01,33
4,Ja'Von Harrison,https://www.espn.com/college-sports/football/recruiting/player/_/id/169105/javon-harrison,73,190,4.68,4.47,33.2,at,79.95,30
4,Devin Voorhies,https://www.espn.com/college-sports/football/recruiting/player/_/id/169276/devin-voorhies,73,199,NA,4.47,NA,at,NA,37
4,JoJo Robinson,https://www.espn.com/college-sports/football/recruiting/player/_/id/130024/jojo-robinson,72,185,4.41,4.01,34.9,at,117.27,37.5
4,Curtis Samuel,https://www.espn.com/college-sports/football/recruiting/player/_/id/176117/curtis-samuel,71,186,4.36,4.07,40.7,at,126.78,35
4,Parris Campbell Jr.,https://www.espn.com/college-sports/football/recruiting/player/_/id/171192/parris-campbell-jr,72,184,4.41,4.16,40.1,at,121.8,36
4,Devante Downs,https://www.espn.com/college-sports/football/recruiting/player/_/id/168420/devante-downs,74,225,NA,NA,NA,at,NA,34
4,Lorenzo Joe,https://www.espn.com/college-sports/football/recruiting/player/_/id/144539/lorenzo-joe,75,196,4.7,4,33,at,102.78,33.5
4,Montae Nicholson,https://www.espn.com/college-sports/football/recruiting/player/_/id/167913/montae-nicholson,74,210,4.6,4.28,34.3,at,102.42,35
4,Armani Watts,https://www.espn.com/college-sports/football/recruiting/player/_/id/170280/armani-watts,71,183,4.7,4.07,35,at,96.51,33
4,Isaiah McKenzie,https://www.espn.com/college-sports/football/recruiting/player/_/id/170222/isaiah-mckenzie,68,160,4.56,4.54,36,at,87.84,35
4,Evan Berry,https://www.espn.com/college-sports/football/recruiting/player/_/id/170239/evan-berry,71,194,4.56,NA,34.5,at,NA,NA
4,Noah Brown,https://www.espn.com/college-sports/football/recruiting/player/_/id/169895/noah-brown,74,215,NA,NA,25.3,at,NA,39
4,Troy Vincent Jr.,https://www.espn.com/college-sports/football/recruiting/player/_/id/164105/troy-vincent-jr,69,189,4.69,4.08,33.1,at,98.61,36.5
4,Cortavious Givens,https://www.espn.com/college-sports/football/recruiting/player/_/id/170171/cortavious-givens,70,222,4.97,4.37,29.9,at,86.85,37
4,Bobby Okereke,https://www.espn.com/college-sports/football/recruiting/player/_/id/177241/bobby-okereke,73,213,4.68,4.44,32.3,at,95.28,37
4,Charles Nelson,https://www.espn.com/college-sports/football/recruiting/player/_/id/132430/charles-nelson,69,164,4.5,4.22,34,at,92.7,30
4,Trace McSorley,https://www.espn.com/college-sports/football/recruiting/player/_/id/164319/trace-mcsorley,73,182,NA,NA,NA,at,NA,29.5
4,Quinton Flowers,https://www.espn.com/college-sports/football/recruiting/player/_/id/170142/quinton-flowers,72,203,4.72,4.53,31.2,at,87.33,37
4,Tito Windham,https://www.espn.com/college-sports/football/recruiting/player/_/id/173809/tito-windham,69,174,4.69,4.53,35.7,at,82.53,33
4,Grant Jones,https://www.espn.com/college-sports/football/recruiting/player/_/id/176116/grant-jones,75,219,4.77,4.44,29.9,at,87.48,36
4,Elliott Davis,https://www.espn.com/college-sports/football/recruiting/player/_/id/139754/elliott-davis,72,175,5.11,4.72,30.3,at,NA,NA
4,Darious Crawley,https://www.espn.com/college-sports/football/recruiting/player/_/id/154012/darious-crawley,71,191,4.63,4.16,37.8,at,98.52,34.5
4,Stepfawn Hughes,https://www.espn.com/college-sports/football/recruiting/player/_/id/137918/stepfawn-hughes,68,167,4.78,4.35,32.8,at,73.38,NA
4,Franklin Labady,https://www.espn.com/college-sports/football/recruiting/player/_/id/152330/franklin-labady,67,152,4.67,4.12,32,at,73.29,32.5
4,M.J. Stewart,https://www.espn.com/college-sports/football/recruiting/player/_/id/165491/mj-stewart,71,191,4.57,4,33.6,at,112.08,36
4,Tony Ellison,https://www.espn.com/college-sports/football/recruiting/player/_/id/165981/tony-ellison,71,162,4.5,3.92,28.7,at,96.81,29.5
4,T.J. Harrell,https://www.espn.com/college-sports/football/recruiting/player/_/id/153011/tj-harrell,72,197,4.61,4.34,30.9,at,92.58,33
4,Tavon Ross,https://www.espn.com/college-sports/football/recruiting/player/_/id/156445/tavon-ross,72,193,4.76,4.52,34.6,at,82.5,NA
4,Thadd Smith,https://www.espn.com/college-sports/football/recruiting/player/_/id/171447/thadd-smith,69,163,4.65,4.26,30.5,at,NA,NA
4,Daquan Worley,https://www.espn.com/college-sports/football/recruiting/player/_/id/151285/daquan-worley,70,171,4.71,4.79,25.1,at,59.94,NA
4,Dennis Turner,https://www.espn.com/college-sports/football/recruiting/player/_/id/130100/dennis-turner,71,157,4.7,4.56,33.6,at,70.56,NA
4,Kendall Sawyer,https://www.espn.com/college-sports/football/recruiting/player/_/id/152282/kendall-sawyer,72,179,4.69,4.47,31.8,at,84.21,37
4,Nick Fitzgerald,https://www.espn.com/college-sports/football/recruiting/player/_/id/168569/nick-fitzgerald,77,208,4.87,4.82,30.6,at,67.17,32
4,Cameron Seward,https://www.espn.com/college-sports/football/recruiting/player/_/id/170027/cameron-seward,72,189,NA,4.27,27.5,at,NA,NA
4,Michael Garner,https://www.espn.com/college-sports/football/recruiting/player/_/id/160388/michael-garner,70,167,4.79,4.25,29.5,at,65.58,32.3
5,George Campbell,https://www.espn.com/college-sports/football/recruiting/player/_/id/168263/george-campbell,76,190,4.36,4.1,37.8,at,115.56,34.5
