College_Weight,HS_Weight,Height,Arm_Length,Hand_Size,Position_Group
208,199,73,31.0,9.625,RB
240,226,73,31.625,9.25,RB
215,200,73,32.625,9.125,RB
232,221,72,30.375,9.375,RB
214,192,70,32.75,9.25,RB
213,192,71,32.0,9.0,RB
189,166,73,32.0,9.0,WR
222,215,74,31.75,9.125,WR
219,160,68,33.0,9.625,WR
202,175,73,32.125,9.125,WR
191,173,71,32.0,8.875,WR
212,205,74,32.0,9.5,WR
173,160,68,28.875,8.875,WR
199,176,72,30.0,9.25,WR
186,180,72,30.75,9.0,WR
216,195,73,32.0,10.125,WR
196,186,71,31.25,9.5,WR
181,170,69,28.0,9.25,WR
181,245,75,28.75,8.25,WR
257,220,78,32.5,10.125,TE
304,277,78,33.875,11.375,OL
318,315,78,33.5,10.0,OL
334,370,76,35.0,11.0,OL
311,271,77,34.0,10.125,OL
304,281,75,32.75,9.25,DL
259,274,75,32.125,10.0,DL
250,241,77,33.375,9.875,DL
307,304,75,32.0,9.75,DL
277,249,78,34.25,9.75,DL
257,235,75,32.0,10.5,DL
272,247,77,35.5,10.25,DL
310,271,76,32.375,10.25,DL
316,290,74,33.25,9.625,DL
261,251,75,31.5,10.375,DL
258,212,75,32.625,10.5,DL
313,282,73,30.625,9.375,DL
304,267,74,34.375,10.125,DL
273,256,75,33.0,9.375,DL
305,310,75,33.125,10.625,DL
241,231,75,32.125,9.125,LB
243,225,75,33.0,9.5,LB
238,225,73,30.5,10.0,LB
235,220,74,32.375,10.25,LB
240,249,74,33.0,9.75,LB
223,194,72,32.0,9.375,LB
228,220,73,30.5,9.625,LB
214,204,72,33.375,9.25,DB
216,198,72,32.125,9.375,DB
197,179,72,32.25,8.75,DB
214,190,73,32.75,9.625,DB
200,172,74,32.0,9.5,DB
201,175,71,32.375,9.5,DB
189,181,73,31.0,9.375,DB
188,159,70,31.625,9.25,DB
212,195,72,32.5,9.125,DB
212,210,74,33.375,9.5,DB
177,152,70,31.0,8.375,DB
192,170,71,32.125,9.125,DB
211,197,73,32.25,9.625,DB
224,205,73,32.0,9.875,QB
221,209,76,31.0,9.375,QB
210,203,72,30.875,9.75,QB
216,209,75,33.125,9.5,QB
216,202,75,33.125,9.5,QB
218,191,75,32.5,10.0,QB
232,191,77,32.25,9.375,QB
232,191,77,32.25,9.375,QB
226,206,76,31.75,9.875,QB
233,208,72,31.375,9.5,RB
245,231,74,30.5,9.25,RB
245,231,74,30.5,9.25,RB
227,217,71,32.0,9.625,RB
223,205,70,30.5,9.25,RB
229,227,72,32.0,9.5,RB
224,215,71,30.75,9.0,RB
214,194,71,31.25,9.125,RB
218,197,69,28.75,9.25,RB
228,215,74,33.5,10.0,RB
202,185,70,30.0,9.25,RB
229,203,71,31.0,9.375,RB
216,200,77,32.875,9.0,WR
202,190,74,33.0,8.75,WR
200,179,71,31.5,9.5,WR
226,202,74,31.375,9.25,WR
196,190,75,32.125,9.25,WR
201,197,71,30.375,9.875,WR
185,156,73,32.125,9.125,WR
189,176,71,30.375,9.375,WR
189,169,73,31.625,9.125,WR
228,206,77,33.75,9.375,WR
247,220,77,34.125,10.25,TE
244,235,78,31.25,9.5,TE
300,287,73,32.375,9.25,OL
317,313,78,36.25,10.0,OL
321,290,76,33.5,9.25,OL
309,281,80,34.0,10.75,OL
325,302,77,33.75,10.375,OL
324,338,75,33.0,9.5,OL
305,305,76,32.0,9.75,OL
315,276,76,31.75,9.75,OL
312,296,77,33.125,9.375,OL
315,285,78,32.25,9.375,OL
321,323,75,34.25,9.75,OL
317,295,77,33.25,10.25,OL
313,274,74,33.375,8.5,OL
321,336,76,34.25,10.0,DL
275,290,77,33.75,9.875,DL
309,258,75,33.5,10.0,DL
315,293,74,33.0,9.625,DL
314,341,76,31.5,10.125,DL
311,348,75,33.0,9.375,DL
314,311,73,31.625,9.75,DL
329,339,75,33.0,9.125,DL
296,295,76,34.5,9.375,DL
297,262,76,34.375,9.75,DL
283,235,77,34.0,10.0,DL
269,225,75,33.75,10.375,DL
283,281,75,33.75,9.875,DL
280,265,74,32.875,10.25,DL
251,240,77,34.625,10.25,DL
281,240,77,33.5,10.25,DL
229,202,73,31.5,10.375,LB
250,234,77,34.0,10.375,LB
232,217,75,32.25,10.0,LB
227,183,73,32.125,9.0,LB
228,234,71,31.0,10.25,LB
236,220,75,32.0,9.625,LB
252,238,75,33.5,9.0,LB
226,195,75,32.0,9.375,LB
223,201,73,31.125,9.0,LB
244,206,73,31.5,10.0,LB
237,215,72,33.125,10.0,LB
236,204,74,32.0,10.0,LB
232,205,75,33.0,8.875,LB
236,205,75,32.0,9.75,LB
236,210,73,32.375,9.5,LB
183,170,72,30.25,8.5,DB
199,196,72,31.5,9.25,DB
199,185,73,31.5,9.25,DB
206,182,73,32.75,8.5,DB
197,197,71,31.5,9.0,DB
190,180,70,29.75,9.125,DB
196,184,74,32.0,9.625,DB
189,181,70,30.875,8.75,DB
178,170,71,29.5,8.75,DB
196,203,73,31.125,9.375,DB
209,185,73,31.75,10.25,DB
200,191,71,31.25,9.25,DB
204,194,73,31.25,9.375,DB
202,180,75,33.875,9.0,DB
216,209,73,32.0,8.625,DB
207,192,74,33.375,9.5,DB
